No,상품명,cate_code,대분류,중분류,소분류,세분류,prd_key
30361,대형 카페트 파일카펫 심플 모던 문 매트 도어 미끄럼 방지,50003512,가구/인테리어,카페트/러그,카페트,파일카페트,가구/인테리어$카페트/러그$카페트$파일카페트
30362,강아지여름옷 조끼 보호자 커플룩 고양이,50007152,생활/건강,반려동물,패션용품,베스트/조끼,생활/건강$반려동물$패션용품$베스트/조끼
30363,"테페 젠틀케어 부드러운 칫솔 구내염,암환자",50001938,생활/건강,구강위생용품,칫솔,N,생활/건강$구강위생용품$칫솔$N
30364,자신의 디자인  흰색 잉크 10pcs 아크릴 결혼식 초대장  무료 배송  맞춤 서비스  파티 메뉴,50008149,생활/건강,문구/사무용품,카드/엽서/봉투,청첩장,생활/건강$문구/사무용품$카드/엽서/봉투$청첩장
30365,듀플렉스6600 듀얼노즐 초음파 가습기 1L 양방향 - 가습기 초음파식가습기,50002540,디지털/가전,계절가전,가습기,초음파식가습기,디지털/가전$계절가전$가습기$초음파식가습기
30366,침대 안전 가드 낙상방지 접이식 4단,50001344,가구/인테리어,아동/주니어가구,소품가구,N,가구/인테리어$아동/주니어가구$소품가구$N
30367,깐잣 500g 국산 식품 농산물 견과류 견과 잣,50002241,식품,농산물,견과류,잣,식품$농산물$견과류$잣
30368,무선 RC배 요트 방제 보트 리모컨 원격제어 낚시배,50004281,생활/건강,수집품,무선/RC,보트/배,생활/건강$수집품$무선/RC$보트/배
30369,타카기 스프링클러 트리플분사 농업 원예 11M G199,50003377,생활/건강,공구,원예공구,스프링클러,생활/건강$공구$원예공구$스프링클러
30370,팬플룻 팬 플루트 22 튜브 상자 케이스 관악기,50004337,생활/건강,악기,관악기,팬플루트,생활/건강$악기$관악기$팬플루트
30371,비즈발 실커튼 현관 블라인드 무펀칭 크리스털 유리 호리호리 주렴 집 문발 차단 현관으로,50000865,가구/인테리어,커튼/블라인드,비즈발,N,가구/인테리어$커튼/블라인드$비즈발$N
30372,초등학생튜브 특이한 초대형 성인 대형 손잡이 튜브,50003067,스포츠/레저,수영,수영용품,튜브,스포츠/레저$수영$수영용품$튜브
30373,(제이큐) 통조림 기타농산물통조림 식자재 도매 죽순채코끼리 식재료 2.84Kg 1개,50012040,식품,통조림/캔,기타통조림/캔,N,식품$통조림/캔$기타통조림/캔$N
30374,우리밀 부침가루,50013380,식품,가루/분말류,부침가루,N,식품$가루/분말류$부침가루$N
30375,자전거 프레임 포크 홀더 유모차 휠체어 스탠드 접이식 파라솔 양산 마운트 확장 브래킷,50002859,스포츠/레저,자전거,자전거부품,프레임/포크,스포츠/레저$자전거$자전거부품$프레임/포크
30376,수유가리개 모유수유담요 일본 모유 수유 수-,50000277,출산/육아,임산부용품,기타임산부용품,N,출산/육아$임산부용품$기타임산부용품$N
30377,병건조기 세병기 클램핑 멀티세척기 반자동세척기,50006960,디지털/가전,주방가전,식기세척/건조기,업소용식기세척기,디지털/가전$주방가전$식기세척/건조기$업소용식기세척기
30378,METALFISH SFX500W 컴퓨터 미니 PC 용 완전 모듈러 SFX 전원,50003111,디지털/가전,PC부품,파워서플라이,mATX파워,디지털/가전$PC부품$파워서플라이$mATX파워
30379,"6 개-황동 머리 핀 34x64mm 웨이브 헤어 빗 4 치아, 골드 실버 원시 황동 금속 선조 헤어 쥬얼리 용품-M",50000563,패션잡화,헤어액세서리,헤어액세서리소품,N,패션잡화$헤어액세서리$헤어액세서리소품$N
30380,모자이크 타일 유리 모자이크 kombi 숲 베이지 색,50003686,가구/인테리어,DIY자재/용품,타일,유리타일,가구/인테리어$DIY자재/용품$타일$유리타일
30381,비바코 로마 우레탄창 tpu창,50002653,스포츠/레저,캠핑,텐트,6-7인용,스포츠/레저$캠핑$텐트$6-7인용
30382,[헬스기구24] 실내자전거 헬스싸이클 파워k3u,50001603,스포츠/레저,헬스,헬스사이클,N,스포츠/레저$헬스$헬스사이클$N
30383,심리스 치마 속바지 살색 속바지 Y라인 방지 뱃살 보정 속바지,50000829,패션의류,여성언더웨어/잠옷,속치마/속바지,N,패션의류$여성언더웨어/잠옷$속치마/속바지$N
30384,기타가구 캠핑용 해먹 가구인테리어,50001059,가구/인테리어,아웃도어가구,기타아웃도어가구,N,가구/인테리어$아웃도어가구$기타아웃도어가구$N
30385,2단 옷장 학교 책상 비운 팔두장 비운환경 사무가구 비운철장 비운탁자 비운강제,50003302,가구/인테리어,서재/사무용가구,사무/교구용가구,캐비닛,가구/인테리어$서재/사무용가구$사무/교구용가구$캐비닛
30386,펜텔 에너겔 볼펜 노크 0.7 Pentel energel,50003576,생활/건강,문구/사무용품,필기도구,펜,생활/건강$문구/사무용품$필기도구$펜
30387,아르간듀 과일나라 컨퓸 아르간 머스크  스프레이 300ML 1개,50000307,화장품/미용,헤어스타일링,헤어스프레이,N,화장품/미용$헤어스타일링$헤어스프레이$N
30388,작살총 스테인레스 세차 제트 스피어 랜스 for lavor hammer hitachi,50001262,스포츠/레저,스킨스쿠버,수중총/작살,N,스포츠/레저$스킨스쿠버$수중총/작살$N
30389,갯벌체험옷 가슴장화 허벅지장화 점프 위장 원피,50003048,스포츠/레저,낚시,낚시의류/잡화,낚시장화,스포츠/레저$낚시$낚시의류/잡화$낚시장화
30390,사무실 원예용품화분 인테리어 홈가드닝 분재예쁜거실,50001801,생활/건강,정원/원예용품,화분,N,생활/건강$정원/원예용품$화분$N
30391,임산부보리차 보리차끓이는법 국내산 볶은 곡물 끓이기 겉보리 전통 800g,50012980,식품,음료,차류,보리차,식품$음료$차류$보리차
30392,사이클링 캡 점보 Visma 2022 팀 경량 자전거 헤드웨어 MTB 로드 사이클 모자 Gorra Casquette Cyclisme - 협력사,50002868,스포츠/레저,자전거,자전거의류/잡화,두건/밴드,스포츠/레저$자전거$자전거의류/잡화$두건/밴드
30393,[국내산잡곡]약콩 쥐눈이콩 700g x 2팩 혼합곡,50002156,식품,농산물,잡곡/혼합곡,콩,식품$농산물$잡곡/혼합곡$콩
30394,코이코 숫돌 칼갈이 숫돌받침대 거치대 연마가이드,50004762,생활/건강,주방용품,칼/커팅기구,칼갈이,생활/건강$주방용품$칼/커팅기구$칼갈이
30395,맛있는반찬 장조림 우리엄마메추리장조림 메추리알 130g 1개입,50001917,식품,반찬,장조림,N,식품$반찬$장조림$N
30396,LG전자 그램16 16ZD90P-GX7TK,50000151,디지털/가전,노트북,N,N,디지털/가전$노트북$N$N
30397,도자기수반 옹기 수반 실내연못 항아리 어항 수경 정원 실내,50001795,생활/건강,정원/원예용품,수반,N,생활/건강$정원/원예용품$수반$N
30398,빌한슨 인텐스홀더 향꽂이 인센스 박스 콘홀더 향홀더,50003354,가구/인테리어,인테리어소품,아로마/캔들용품,촛대/홀더,가구/인테리어$인테리어소품$아로마/캔들용품$촛대/홀더
30399,애니블록 뽀로로 퍼즐 스타터 정리함 통합구성,50004648,출산/육아,완구/매트,유아동퍼즐,기타유아동퍼즐,출산/육아$완구/매트$유아동퍼즐$기타유아동퍼즐
30400,무료배송 성인 스케이트화 남녀 인라인스케이트 스케이트화 인라인스케이트,50006768,스포츠/레저,인라인스케이트,인라인용품,N,스포츠/레저$인라인스케이트$인라인용품$N
30401,바디드라이어 에어샤워 전신건조 발건조기 몸드라이기,50007070,디지털/가전,생활가전,전신건조기,N,디지털/가전$생활가전$전신건조기$N
30402,헤링본 클래식 자수 세미 정장 남자 넥타이 6 color,50004014,패션잡화,패션소품,넥타이,기본넥타이,패션잡화$패션소품$넥타이$기본넥타이
30403,워터피아 정수기 필터 부품 부속 아답타 - 아답타 소형 (국산),50002592,디지털/가전,주방가전,정수기,정수기필터,디지털/가전$주방가전$정수기$정수기필터
30404,로더베르 미녀와 야수 헤어 앤 바디미스트 베이비 파우더 150ml,50000283,화장품/미용,바디케어,바디미스트,N,화장품/미용$바디케어$바디미스트$N
30405,온요네 스키복 2223 DEMO TEAM OUTER SET BLK SAND,50002871,스포츠/레저,스키/보드,스키복,상하세트,스포츠/레저$스키/보드$스키복$상하세트
30406,유아두유 토들러 인펀트 두유 2단계 3단계 190ml 16팩,50000738,출산/육아,아기간식,유아두유,N,출산/육아$아기간식$유아두유$N
30407,유니온 안전용품 - 글래스보드 GB01 16PCS,50000582,출산/육아,안전용품,디딤대,N,출산/육아$안전용품$디딤대$N
30408,세차 초대형 초 극세사 드라잉 세차타월 융 타올 그린,50003944,생활/건강,자동차용품,세차용품,타월/융,생활/건강$자동차용품$세차용품$타월/융
30409,기타 아카데미 북엔드 L형 북앤드 도서받침대,50003594,생활/건강,문구/사무용품,데스크용품,북엔드,생활/건강$문구/사무용품$데스크용품$북엔드
30410,메모리 골프보정속옷 블랙 XL 힙업 하의 스타일 없음,50003627,패션의류,여성언더웨어/잠옷,보정속옷,거들,패션의류$여성언더웨어/잠옷$보정속옷$거들
30411,농악기 징 꽹과리 맞춤 제작하다 파도 불산 깨어나 사자 꽹과리로 만든 플랫 청동,50004363,생활/건강,악기,국악기,징,생활/건강$악기$국악기$징
30412,전선보호관 히가시잉 투명색 열수축관 절연 2배 내온 43451725N4785964575,50002767,디지털/가전,학습기기,학습기기액세서리,보호필름/키스킨,디지털/가전$학습기기$학습기기액세서리$보호필름/키스킨
30413,유치원 어린이 의자 유아용 낮은 스툴 체어 등받이,50000591,출산/육아,유아가구,유아의자,N,출산/육아$유아가구$유아의자$N
30414,미니 스타일러 에어드레서 의류관리기,50007045,디지털/가전,생활가전,의류관리기,N,디지털/가전$생활가전$의류관리기$N
30415,"(정품)현대적 암막 커튼, 창문 처리 블라인드, 검정색 거실 용 침실 솔리드",50000863,가구/인테리어,커튼/블라인드,캐노피,N,가구/인테리어$커튼/블라인드$캐노피$N
30416,입문용 자전거 팻바이크 엠티비 오프로드 자전거,50002828,스포츠/레저,자전거,자전거/MTB,하이브리드,스포츠/레저$자전거$자전거/MTB$하이브리드
30417,수작마켓 수제 해물 간장 낙지장 간장낙지 밥도둑,50004706,식품,수산물,해산물/어패류,낙지,식품$수산물$해산물/어패류$낙지
30418,스마일굿 일자형완력기-60kg,50003169,스포츠/레저,헬스,헬스소품,완력기,스포츠/레저$헬스$헬스소품$완력기
30419,프리미엄 압축 휴지통 쓰레기통 10L 20L 분리수거함,50002477,생활/건강,청소용품,휴지통,다용도휴지통,생활/건강$청소용품$휴지통$다용도휴지통
30420,파버카스텔 전문 유성 색연필 60색,50003896,생활/건강,화방용품,스케치/드로잉용품,유성색연필,생활/건강$화방용품$스케치/드로잉용품$유성색연필
30421,기타가구 캠핑 접이식 테이블 야외 여행 피크닉을위한 컴퓨터 가든 데스크 아웃도어가구,50001059,가구/인테리어,아웃도어가구,기타아웃도어가구,N,가구/인테리어$아웃도어가구$기타아웃도어가구$N
30422,뚜껑열리는 led 요술봉 버블 스틱 전동 비눗방울 놀이,50004224,출산/육아,완구/매트,감각발달완구,비눗방울,출산/육아$완구/매트$감각발달완구$비눗방울
30423,귀뚜라미 보일러 온도조절기 NCTR-6100,50009040,디지털/가전,계절가전,보일러,보일러부품,디지털/가전$계절가전$보일러$보일러부품
30424,[무배] 모기향/그린세이프홈라이프매트에스(60매)/홈매트 BLD888,50002691,생활/건강,생활용품,해충퇴치용품,매트형,생활/건강$생활용품$해충퇴치용품$매트형
30425,솔랩 지성두피각질제거 사춘기청소년 비듬샴푸 (2개 SET),50000305,화장품/미용,헤어케어,헤어케어세트,N,화장품/미용$헤어케어$헤어케어세트$N
30426,야광 발광 LED 안경 사진 촬영 엽기 EL 글로우 선글라스 개그 바 번디 전기 음절 생일 선물 파티 분위기 소품,50000556,패션잡화,선글라스/안경테,안경테,N,패션잡화$선글라스/안경테$안경테$N
30427,공드린방앗간 청아당 국산 햅쌀 꿀백설기 450g 9개입 상품구성 꿀백설기 450g,50013161,식품,과자/베이커리,떡,N,식품$과자/베이커리$떡$N
30428,스즈키 유지 공업 발바닥 수액 시트 30장입,50002693,생활/건강,생활용품,해충퇴치용품,아로마/로션,생활/건강$생활용품$해충퇴치용품$아로마/로션
30429,휴대용 자동차 점프 스타터 보조베터리 배터리 충전기 비상 부스터,50003929,생활/건강,자동차용품,배터리용품,배터리충전기,생활/건강$자동차용품$배터리용품$배터리충전기
30430,DAINOLITE 조명 V1230-6W-PC 기타 욕실 세면대 조명 65214029209,50003338,가구/인테리어,인테리어소품,조명,욕실조명,가구/인테리어$인테리어소품$조명$욕실조명
30431,스타 배구공 뉴프로페셔널2 4호,50001443,스포츠/레저,배구,배구공,N,스포츠/레저$배구$배구공$N
30432,마누크리스탈 대형 양손잡이 와인 버켓,50004804,생활/건강,주방용품,와인용품,와인쿨러,생활/건강$주방용품$와인용품$와인쿨러
30433,어린이 양손 배드민턴 스포츠완구 두뇌발달 키즈토이,50004271,출산/육아,완구/매트,스포츠완구,야구/캐치볼,출산/육아$완구/매트$스포츠완구$야구/캐치볼
30434,진저 샌딩실러 Seal Coat 마감전 하도제 946ml,50003534,생활/건강,공구,페인트용품,바니시,생활/건강$공구$페인트용품$바니시
30435,생활잡화 커피스틱 100개 18cm,50004837,생활/건강,주방용품,주방잡화,커피스틱,생활/건강$주방용품$주방잡화$커피스틱
30436,슬라이딩침대 좁은방 슬라이드 서랍형 2단 조립식 2층,50003217,가구/인테리어,침실가구,침대,이단침대,가구/인테리어$침실가구$침대$이단침대
30437,Nuxe Tanning Oil 눅스 태닝 오일 SPF30 150ml,50004403,화장품/미용,선케어,태닝,태닝오일,화장품/미용$선케어$태닝$태닝오일
30438,일본 미스즈 앙팡맨 호빵맨 건두부 53g 캐릭터 두부,50011900,식품,농산물,채소,두부,식품$농산물$채소$두부
30439,삼성전자 삼성 SL-J3520W 정품잉크포함,50002940,디지털/가전,주변기기,프린터,잉크젯프린터,디지털/가전$주변기기$프린터$잉크젯프린터
30440,다용도 접이식 실리콘 깔대기 소형 6 5x6,50004788,생활/건강,주방용품,조리기구,깔때기,생활/건강$주방용품$조리기구$깔때기
30441,코털 제거기 ER-115 정리 스텐날 물세척,50004393,화장품/미용,뷰티소품,페이스소품,코털제거기,화장품/미용$뷰티소품$페이스소품$코털제거기
30442,숫자놀이 원목퍼즐 아동교구 영아교구,50004474,출산/육아,완구/매트,유아동퍼즐,숫자퍼즐,출산/육아$완구/매트$유아동퍼즐$숫자퍼즐
30443,스텝 원목쌓기 나무블럭 카프라스틱 유아 어린이,50004262,출산/육아,완구/매트,블록,원목블록,출산/육아$완구/매트$블록$원목블록
30444,3D 안경 적색 청색 입체 일반형 고급형 쓰리디 홀더,50002119,디지털/가전,영상가전,영상가전액세서리,3D입체안경,디지털/가전$영상가전$영상가전액세서리$3D입체안경
30445,[설해담] [설해담] 속초젓갈 낙지젓 1kg,50004730,식품,수산물,젓갈/장류,낙지젓,식품$수산물$젓갈/장류$낙지젓
30446,미드센츄리 모던 침실 스탠드 조명 램프 미니멀 고급,50002366,디지털/가전,생활가전,스탠드,일반스탠드,디지털/가전$생활가전$스탠드$일반스탠드
30447,화장대겸서랍 일반화장대 화장대 침실 소호형 다기능 현대적이고 심플하며 신축 가능한 책상,50003232,가구/인테리어,침실가구,화장대,일반화장대,가구/인테리어$침실가구$화장대$일반화장대
30448,한국농협김치 순천 남도 총각김치 1kg 3kg 5kg 전라도 국내산 HACCP,50002021,식품,김치,총각김치,N,식품$김치$총각김치$N
30449,미쓰비시 예초기용 2행정 엔진오일 1리터,50003368,생활/건강,공구,예초기,엔진예초기,생활/건강$공구$예초기$엔진예초기
30450,산리오 캐릭터 케이스 필통 Type-A하트 사각파우치 마이멜로디,50007548,생활/건강,문구/사무용품,필기도구,필통,생활/건강$문구/사무용품$필기도구$필통
30451,에이트리 페이즐리코트성인 유아동 아동 키즈 아동복 로파드엔젤,50007124,출산/육아,유아동의류,패밀리룩,N,출산/육아$유아동의류$패밀리룩$N
30452,신한 전문가용 포스터칼라 40ml 24색 A,50003889,생활/건강,화방용품,물감/포스터컬러,수채화물감,생활/건강$화방용품$물감/포스터컬러$수채화물감
30453,(특) 차량용 자동차 베이브릭 곰돌이 캐릭터 도어가드 캐치가드 (한마리),50004059,생활/건강,자동차용품,익스테리어용품,가드,생활/건강$자동차용품$익스테리어용품$가드
30454,로시뇰 스키부츠 RADICAL 150 SI(RED) 13,50002872,스포츠/레저,스키/보드,스키장비,부츠,스포츠/레저$스키/보드$스키장비$부츠
30455,송원식품 송원 우엉차 100T x2 200T,50006197,식품,음료,차류,우엉차,식품$음료$차류$우엉차
30456,슈슈아띠 아이주도식 흡착볼 &amp; 흡착식판 할인세트,50000478,출산/육아,이유식용품,유아식기,N,출산/육아$이유식용품$유아식기$N
30457,마이클 마이클 코어스 허스크 멀티 장지갑 MICHAEL michael kors Jet Set Travel Continental Husk Multi,50003984,패션잡화,지갑,여성지갑,장지갑,패션잡화$지갑$여성지갑$장지갑
30458,만도(MANDO) 프리모(Primo) MX200 용 전원 AC 어댑터,50004099,생활/건강,자동차용품,전기용품,차량용AC어댑터,생활/건강$자동차용품$전기용품$차량용AC어댑터
30459,성인용 피서 해수욕장 바다 계곡 수영장 스노클링 물놀이 세트,50003072,스포츠/레저,수영,수영용품,스노클/마스크,스포츠/레저$수영$수영용품$스노클/마스크
30460,후이펑 스리라차 소스 255g 닭표 핫칠리소스,50013241,식품,소스/드레싱,칠리/핫소스,N,식품$소스/드레싱$칠리/핫소스$N
30461,태블릿케이스 태블릿 아이패드 갤럭시탭 가방 호환 일본 하라주쿠 나일론 여성용 크로스 바디 학생 도서 쿨 숄더 백 satchels 메신저 백 bolsa feminina,50002936,디지털/가전,주변기기,태블릿/액세서리,태블릿액세서리,디지털/가전$주변기기$태블릿/액세서리$태블릿액세서리
30462,앤디얼 매트 립 컬러 4.4g,50000394,화장품/미용,색조메이크업,립틴트,N,화장품/미용$색조메이크업$립틴트$N
30463,장흥무산김 파래재래김(전장 100매),50004695,식품,수산물,김/해초,김,식품$수산물$김/해초$김
30464,펫용품 청결티슈 와우이크린 애견용품 구강 100매,50006661,생활/건강,반려동물,강아지 건강/관리용품,구강티슈,생활/건강$반려동물$강아지건강/관리용품$구강티슈
30465,스마토 스프링핸디클램프NSC 2 작업공구 바이스그립 바이스 뺀치 락킹플라이어,50003400,생활/건강,공구,수작업공구,플라이어,생활/건강$공구$수작업공구$플라이어
30466,유사계단파 인버터 12V 3kW DP-3000AQ,50004095,생활/건강,자동차용품,전기용품,인버터,생활/건강$자동차용품$전기용품$인버터
30467,강력후킹 낚싯바늘 500p세트/붕어 낚시장비 민물바늘,50003019,스포츠/레저,낚시,민물낚시,민물낚싯바늘,스포츠/레저$낚시$민물낚시$민물낚싯바늘
30468,온플 다니엘크레뮤 21FW FAUX 스웨이드 다운베스트 니트집업,50000834,패션의류,남성의류,조끼,N,패션의류$남성의류$조끼$N
30469,아트사인 3973 원형스텐꽂이-2개입 메모꽂이,50003598,생활/건강,문구/사무용품,데스크용품,메모꽂이,생활/건강$문구/사무용품$데스크용품$메모꽂이
30470,실리콘 고깔 냄비손잡이 2P (6color),50004545,생활/건강,주방용품,냄비/솥,냄비부자재,생활/건강$주방용품$냄비/솥$냄비부자재
30471,청운산업 쿠션안마기 유선 차량용d,50001832,생활/건강,안마용품,쿠션안마기,N,생활/건강$안마용품$쿠션안마기$N
30472,TAMA 휴대용 칫솔살균기,50002374,디지털/가전,생활가전,구강청정기,칫솔살균기,디지털/가전$생활가전$구강청정기$칫솔살균기
30473,세르주루텐 뉘 드 셀로판 오 드 퍼퓸,50000312,화장품/미용,향수,여성향수,N,화장품/미용$향수$여성향수$N
30474,클래스에스 5부 다이아몬드 리플리반지,50004148,패션잡화,주얼리,반지,다이아몬드반지,패션잡화$주얼리$반지$다이아몬드반지
30475,미즈노 웨이브 클로 네오2 EZ 스페이스 인베이더 배드민턴화 인도어화 71GA227030,50001350,스포츠/레저,배드민턴,배드민턴화,N,스포츠/레저$배드민턴$배드민턴화$N
30476,시몬스 로피 뷰티레스트 스위트 매트리스 침대 SS,50003211,가구/인테리어,침실가구,침대,슈퍼싱글침대,가구/인테리어$침실가구$침대$슈퍼싱글침대
30477,나이스필 침구 캐시 경추베개솜 50x70,50003501,가구/인테리어,솜류,베개솜/속통,일반베개솜,가구/인테리어$솜류$베개솜/속통$일반베개솜
30478,대형견줄 가슴줄 세트 USA 1P 강아지 산책줄,50006749,생활/건강,반려동물,야외용품,가슴줄,생활/건강$반려동물$야외용품$가슴줄
30479,세남자 짜장떡볶이,50012340,식품,냉동/간편조리식품,떡볶이,N,식품$냉동/간편조리식품$떡볶이$N
30480,오뚜기 백도 반절 통조림 400g 12개 370932,50011960,식품,통조림/캔,꽁치/고등어,N,식품$통조림/캔$꽁치/고등어$N
30481,오토바이 겨울 방한 무릎 보호대 워머 배달대행,50003181,스포츠/레저,오토바이/스쿠터,오토바이용품,보호대,스포츠/레저$오토바이/스쿠터$오토바이용품$보호대
30482,카멜 PF1030IPS,50002014,디지털/가전,영상가전,디지털액자,N,디지털/가전$영상가전$디지털액자$N
30483,실내식물 화분만들기 풀세트 해바라기,50001786,생활/건강,원예/식물,식용식물,N,생활/건강$원예/식물$식용식물$N
30484,(새벽배송 가능상품)1등급란 10개입 특란,50004658,식품,축산물,알류,달걀,식품$축산물$알류$달걀
30485,강아지사료 이즈칸 프로액티브 피모관리 1.2kg,50006683,생활/건강,반려동물,고양이 사료,분유/우유,생활/건강$반려동물$고양이사료$분유/우유
30486,MISSHA 울트라 파워프루프 리퀴드 브로우 2.5g,50000398,화장품/미용,색조메이크업,아이브로,N,화장품/미용$색조메이크업$아이브로$N
30487,강아지 펫 애견 외출 후 발 바닥 브러시 관리 컵 통 위생 도구,50006671,생활/건강,반려동물,미용/목욕,기타 미용/목욕용품,생활/건강$반려동물$미용/목욕$기타미용/목욕용품
30488,9V 기타 픽업 배터리 어쿠스틱 기타베이스 스토리지 커버 교체용,50001442,스포츠/레저,농구,기타농구용품,N,스포츠/레저$농구$기타농구용품$N
30489,W 산리오 커플 스니커즈 - 시나모롤 양말 발목양말 캐릭터양말 산리오양말,50003995,패션잡화,양말,여성양말,발목양말,패션잡화$양말$여성양말$발목양말
30490,자전거보조바퀴 99g Aceoffix 스피드 실버 휠 세트 브롬톤 프론트 자전거악세사리,50002836,스포츠/레저,자전거,자전거용품,보조바퀴,스포츠/레저$자전거$자전거용품$보조바퀴
30491,HDR 175 Senheiser 이어패드 헤드폰 교체 이어쿠션용 이어패드이어폰 액세서리,50002338,디지털/가전,음향가전,이어폰/헤드폰액세서리,캡/솜/팁,디지털/가전$음향가전$이어폰/헤드폰액세서리$캡/솜/팁
30492,원목 엔틱 금장 나비장 자개장 콘솔 장식장 수납장 원래 혁신적인 가구 페인트 및 오래된,50001324,가구/인테리어,수납가구,나비장,N,가구/인테리어$수납가구$나비장$N
30493,스마트 레진1500g x 4세트 (6kg) / 스마트 크리스탈레진 특가상품,50003910,생활/건강,자동차용품,DIY용품,레진,생활/건강$자동차용품$DIY용품$레진
30494,[남도장터]완도매생이 완도 염장 모듬 해초 200g 5팩,50004697,식품,수산물,김/해초,매생이,식품$수산물$김/해초$매생이
30495,엘지생활건강 생활의 감동 샴푸 바디 세트,50001780,생활/건강,생활용품,생활선물세트,N,생활/건강$생활용품$생활선물세트$N
30496,메리트 천공기 DP-200,50003756,생활/건강,문구/사무용품,사무기기,천공기,생활/건강$문구/사무용품$사무기기$천공기
30497,브리츠 게이밍 스피커 컴퓨터 노트북 데스크탑 PC스피커 홈시어터,50002966,디지털/가전,멀티미디어장비,PC스피커,5.1채널,디지털/가전$멀티미디어장비$PC스피커$5.1채널
30498,세탁잡화 매직크린 하이프로 바닥용 광택제 18.75L,50002509,생활/건강,생활용품,세제/세정제,세탁세제,생활/건강$생활용품$세제/세정제$세탁세제
30499,전면책장 회전 깊은 벤치형 모듈 동물신제품 DIY 도서 구석 키트 3D 나무 퍼즐 북 엔드 선반 삽입 장식 빌,50001346,가구/인테리어,서재/사무용가구,책장,N,가구/인테리어$서재/사무용가구$책장$N
30500,[3+1이벤트] 즙쟁이 도라지배즙 1박스 30포 배도라지즙,50007007,식품,건강식품,건강즙/과일즙,기타건강즙/과일즙,식품$건강식품$건강즙/과일즙$기타건강즙/과일즙
30501,이어폰연장케이블 이어폰연장선 헤드셋케이블,50002340,디지털/가전,음향가전,이어폰/헤드폰액세서리,연장선/케이블,디지털/가전$음향가전$이어폰/헤드폰액세서리$연장선/케이블
30502,"[09피싱]해동 원형찌통 민물,바다 막대찌 케이스",50003024,스포츠/레저,낚시,민물낚시,찌케이스,스포츠/레저$낚시$민물낚시$찌케이스
30503,캐논 SX230 LCD 스크린 디스플레이,50002092,디지털/가전,카메라/캠코더용품,LCD용품/보호필름,LCD후드,디지털/가전$카메라/캠코더용품$LCD용품/보호필름$LCD후드
30504,푸드코리아 미담채 옛날 돈까스 소스1.9kg,50013221,식품,소스/드레싱,돈가스소스,N,식품$소스/드레싱$돈가스소스$N
30505,TD 원형 메밀베개 바디필로우 계절베개  화이트  20x50,50003474,가구/인테리어,침구단품,베개,계절베개,가구/인테리어$침구단품$베개$계절베개
30506,대경바스 아크릴 코너욕조 1300X1300,50008470,생활/건강,욕실용품,욕조/반신욕용품,월풀욕조/매립욕조,생활/건강$욕실용품$욕조/반신욕용품$월풀욕조/매립욕조
30507,임산부속옷 임산부팬티 친환경소재 쁘띠팬티 품명 쁘띠 사이즈,50004031,출산/육아,임부복,임부속옷,임부팬티,출산/육아$임부복$임부속옷$임부팬티
30508,국내산 최고급 흑염소 염소고기 1Kg (뼈+고기) 수육/탕/전골/30년 염소명가,50000215,식품,축산물,기타육류,N,식품$축산물$기타육류$N
30509,유닉스 테이크아웃 헤어롤 38 블루 PW 5638MB - 유닉스,50001990,디지털/가전,이미용가전,헤어롤/롤셋,N,디지털/가전$이미용가전$헤어롤/롤셋$N
30510,운동화 세탁브 러쉬 손빨래 세탁솔 303,50002043,생활/건강,세탁용품,세탁솔,N,생활/건강$세탁용품$세탁솔$N
30511,곰돌이베개커버 순면아기베개커버 알러지케어베게,50003478,가구/인테리어,침구단품,베개,베개커버세트,가구/인테리어$침구단품$베개$베개커버세트
30512,프리미엄 유모차 디럭스 절충형 유모차 휴대용 유모차 접이식 유모차 알루미늄 프레임 높은,50005407,출산/육아,유모차,유모차/카시트 세트,N,출산/육아$유모차$유모차/카시트세트$N
30513,BTM 멤브렌 차량용 공기청정제-휘튼치드라벤더향 탈취 탈취제 방향 악취제거 방향제 냄새제거 옷장냄새 제습 에어방향제  1,50002678,생활/건강,생활용품,제습/방향/탈취,차량용방향제,생활/건강$생활용품$제습/방향/탈취$차량용방향제
30514,자이언트 리브 컨트롤 타워 2 자전거 펌프,50002845,스포츠/레저,자전거,자전거용품,펌프,스포츠/레저$자전거$자전거용품$펌프
30515,[리틀포뇨 잔꽃 프릴BL]XS-XL 유아동 키즈 여아 프릴 넥프릴 코튼 잔꽃 블라우스,50000536,출산/육아,유아동의류,블라우스,N,출산/육아$유아동의류$블라우스$N
30516,깨순 깻잎순 1kg 깨순나물 깻순나물 나물 깻순 어린깻잎,50012880,식품,농산물,채소,깻잎,식품$농산물$채소$깻잎
30517,소년을위한 귀여운 3d 블루 베어 학교 가방 사랑스러운 동물 디자인 키즈 소녀 배낭 학생 도서 가방 mochila infantil,50004203,출산/육아,유아동잡화,가방,백팩,출산/육아$유아동잡화$가방$백팩
30518,USB AB 삼성 캐논 앱손 프린터 복합기 연결케이블 3.0 연장선 220v 전원파워코드 1.5m,50003120,디지털/가전,PC부품,PC케이블,USB케이블,디지털/가전$PC부품$PC케이블$USB케이블
30519,코멧 이사박스 5입  5호  블루  5개입,50003543,생활/건강,공구,포장용품,택배박스,생활/건강$공구$포장용품$택배박스
