No,상품명,cate_code,대분류,중분류,소분류,세분류,prd_key
43375,강당 걸레 60cm 밀대 막대 체육관 마포 청소 봉 물 대 걸레,50001840,생활/건강,청소용품,밀대/패드,N,생활/건강$청소용품$밀대/패드$N
43376,아이앤비 야광 노리개 젖꼭지 2단계 공갈젖꼭지 노리개젖꼭지 수유용품 젖,50000746,출산/육아,수유용품,노리개젖꼭지,N,출산/육아$수유용품$노리개젖꼭지$N
43377,뽀로로 낚시놀이 낚시 장난감 완구 지펙토리,50004439,출산/육아,완구/매트,역할놀이/소꿉놀이,낚시놀이,출산/육아$완구/매트$역할놀이/소꿉놀이$낚시놀이
43378,모니터가리개 크리스마스 lcd 디스플레이 범퍼 케이스 커버 장식 pc 기타모니터주변기기,50001593,디지털/가전,모니터주변기기,기타모니터주변기기,N,디지털/가전$모니터주변기기$기타모니터주변기기$N
43379,자동차 시동 스위치 버튼 jk260 디젤 엔진 발전기 세트 트랙터,50003965,생활/건강,자동차용품,키용품,스타트버튼,생활/건강$자동차용품$키용품$스타트버튼
43380,대용량 담금주 용기 10L 12L 15L 20L 매실주 숙성 과일 저장 과실주병 발효통 오미자통,50005257,생활/건강,주방용품,보관/밀폐용기,기타보관용기,생활/건강$주방용품$보관/밀폐용기$기타보관용기
43381,[명약원] [최유라쇼 단독][데일리케어]  메디케어 치약 120g 14개 + 메디케어 인텐,50001937,생활/건강,구강위생용품,치약,N,생활/건강$구강위생용품$치약$N
43382,경상북도 예천군 은풍준시 곶감 20과 30과 (22년 햇곶감),50002454,식품,농산물,건과류,곶감,식품$농산물$건과류$곶감
43383,빨간코 루돌프 셀프 젤네일 아트 데코스티커,50000403,화장품/미용,네일케어,네일아트,N,화장품/미용$네일케어$네일아트$N
43384,신라블루온테이블 맛깔난 동태탕 10인분 밀키트 쿠킹박스 해물육수 매운탕소스,50013920,식품,수산물,수산가공식품,해물탕류,식품$수산물$수산가공식품$해물탕류
43385,[돌핀양갈비]뉴질랜드 살치살 500g+시즈닝 양고기 양갈비 꼬미양 OVATION,50000280,식품,축산물,양고기,N,식품$축산물$양고기$N
43386,[센티폴리아] 런드리 디터전트 1500ML (섬유유연제가 필요없는 세탁세제 무향),50000626,출산/육아,유아세제,유아세탁세제,N,출산/육아$유아세제$유아세탁세제$N
43387,마리하우스 베이직 쿠션솜,50000979,가구/인테리어,솜류,쿠션솜,N,가구/인테리어$솜류$쿠션솜$N
43388,원석목걸이 조시 에스닉 빈티지 골동품 컬러 다채로운 에나멜 적 유색보석목걸이,50004172,패션잡화,주얼리,목걸이,유색보석목걸이,패션잡화$주얼리$목걸이$유색보석목걸이
43389,솎음열무 4kg,50002223,식품,농산물,채소,열무,식품$농산물$채소$열무
43390,롤루미나 MK.II 소프트버튼 Kit 골드/볼록 (접착식),50002096,디지털/가전,카메라/캠코더용품,필름/관련용품,암실/현상용품,디지털/가전$카메라/캠코더용품$필름/관련용품$암실/현상용품
43391,운동용 의류 신발 수납용 헬스장 가방 스포츠백,50003188,스포츠/레저,축구,축구가방,슈즈백,스포츠/레저$축구$축구가방$슈즈백
43392,미니 라디오 휴대용 한잉다 HRD 700 반도체 전파구,50001970,디지털/가전,음향가전,라디오,N,디지털/가전$음향가전$라디오$N
43393,넛트패밀리 껍질 까먹는 마카다미아S 450g 견과류,50002244,식품,농산물,견과류,마카다미아,식품$농산물$견과류$마카다미아
43394,대성에너텍 DBE-20 난방전용,50002537,디지털/가전,계절가전,보일러,전기보일러,디지털/가전$계절가전$보일러$전기보일러
43395,휴대용 영수증 프린터 58mm android handheld mobile terminal,50002946,디지털/가전,주변기기,프린터,영수증프린터,디지털/가전$주변기기$프린터$영수증프린터
43396,실물화상기 원격 수업 학교 학원 프로젝터 수업용,50003750,생활/건강,문구/사무용품,사무기기,실물화상기,생활/건강$문구/사무용품$사무기기$실물화상기
43397,마하링크 인터넷선 기가 랜 선 UTP 케이블 2M,50003122,디지털/가전,PC부품,PC케이블,랜케이블,디지털/가전$PC부품$PC케이블$랜케이블
43398,목공 공구 트리머 루터기 전기 나무 밀링 220V 3000W,50003284,생활/건강,공구,목공공구,트리머,생활/건강$공구$목공공구$트리머
43399,여자 순금 목걸이 체인 도우너 24K 11.25g 18K장식,50004170,패션잡화,주얼리,목걸이,순금목걸이,패션잡화$주얼리$목걸이$순금목걸이
43400,오뜨르 오도목도리 유아동 아동 키즈 아동복 로파드엔젤,50000352,출산/육아,유아동잡화,목도리,N,출산/육아$유아동잡화$목도리$N
43401,헬린이 헬창이용 미니 목욕바구니 세탁용품 빨래 주부,50002036,생활/건강,세탁용품,빨래바구니,N,생활/건강$세탁용품$빨래바구니$N
43402,교동섬쌀 고시히카리 20kg,50004749,식품,농산물,쌀,백미,식품$농산물$쌀$백미
43403,Fujifilm Instax Mini 즉석 카메라 필름 10매 5팩 총 50매,50004617,디지털/가전,카메라/캠코더용품,즉석카메라,즉석필름,디지털/가전$카메라/캠코더용품$즉석카메라$즉석필름
43404,이보쉴드 야구헬멧 타자헬멧 베팅 야구용품 WTV7110SC,50001557,스포츠/레저,야구,헬멧,N,스포츠/레저$야구$헬멧$N
43405,성묘준비 키친어썸 휴대용 제기세트 14P 6P,50004849,생활/건강,주방용품,제수용품,휴대용제기,생활/건강$주방용품$제수용품$휴대용제기
43406,신생아탕온계 반신욕 목욕물 탕온도계 아기탕 목욕 수온계 탕온계,50000713,출산/육아,목욕용품,유아욕탕온도계,N,출산/육아$목욕용품$유아욕탕온도계$N
43407,"HHCC 2PCS 나무 활, 4/4 첼로 활, 팔각형 스틱, 흑단?",50004479,출산/육아,완구/매트,음악/악기놀이,멜로디언/키보드,출산/육아$완구/매트$음악/악기놀이$멜로디언/키보드
43408,자전거 엉덩이 패드 빕숏 치마바지 싸이클링,50006729,생활/건강,반려동물,패션용품,패딩,생활/건강$반려동물$패션용품$패딩
43409,브리오신 사봉느와르 다목적 세정제 레몬향 750ml,50002507,생활/건강,생활용품,세제/세정제,유리세정제,생활/건강$생활용품$세제/세정제$유리세정제
43410,홈워킹 헬스 스텝퍼 스테퍼 다기능 가정용 음소거 체중 감소 유물 스토브 파이프 여성 소형,50001608,스포츠/레저,헬스,스텝퍼,N,스포츠/레저$헬스$스텝퍼$N
43411,[자매베베] 유아동타이즈 아동스타킹 무지무발타이즈(1족),50007126,출산/육아,유아동잡화,타이즈,N,출산/육아$유아동잡화$타이즈$N
43412,자전거 부품 WILD MAN 방수 가방 전면 튜브 프레임 핸,50002839,스포츠/레저,자전거,자전거용품,자전거가방,스포츠/레저$자전거$자전거용품$자전거가방
43413,통살 보니또 오리지날 통살참치 애견소시지 24개입,50006690,생활/건강,반려동물,고양이 간식,통살/소시지,생활/건강$반려동물$고양이간식$통살/소시지
43414,[자연담은][22년산] 유기농 귀리레드혼합곡 1kg x 4 (4kg),50002158,식품,농산물,잡곡/혼합곡,혼합곡,식품$농산물$잡곡/혼합곡$혼합곡
43415,"파워드믹서앰프,FA-500 250WX2, 2체널",50004373,생활/건강,악기,음향기자재,파워믹서,생활/건강$악기$음향기자재$파워믹서
43416,대형 벽걸이 선풍기 업소용 벽선풍기 산업용 벽걸이용 메탈 20인치 공장,50002514,디지털/가전,계절가전,선풍기,벽걸이형선풍기,디지털/가전$계절가전$선풍기$벽걸이형선풍기
43417,더마하우스 입소문 화이트닝2종 (스킨+로션)/미백 잡티관리,50000444,화장품/미용,스킨케어,화장품세트,N,화장품/미용$스킨케어$화장품세트$N
43418,국산 예산도기 황토 옹기방 내열냄비 계란찜 뚝배기 1호,50004548,생활/건강,주방용품,냄비/솥,뚝배기,생활/건강$주방용품$냄비/솥$뚝배기
43419,P&amp;G 질레트 뉴 스킨텍 파워 면도날,50002309,생활/건강,욕실용품,면도용품,면도기날,생활/건강$욕실용품$면도용품$면도기날
43420,씨씨앤티 에어 구리스건 400cc 구리스 주입기 펌프 HYQ-11,50003379,생활/건강,공구,에어공구,에어건,생활/건강$공구$에어공구$에어건
